price,sector
233.85001,Electronic Technology
131.60001,Electronic Technology
418.73999,Technology Services
187.69,Retail Trade
586.27002,Technology Services
165.46001,Technology Services
175.98,Electronic Technology
462.67999,Finance
166.89999,Technology Services
913.32001,Health Technology
219.57001,Consumer Durables
222.39,Finance
556.28998,Health Services
120.35,Energy Minerals
279.29001,Commercial Services
415.57999,Retail Trade
507.23001,Commercial Services
894.60999,Other
173.57001,Consumer Non-Durables
164.10001,Health Technology
81.65,Retail Trade
191.86,Health Technology
705.97998,Technology Services
174.09,Technology Services
111.53,Health Technology
288.35001,Technology Services
156.64,Electronic Technology
42.14,Finance
70.34,Consumer Non-Durables
147.73,Energy Minerals
175.89999,Consumer Non-Durables
600.52002,Health Technology
368.66,Technology Services
480.70999,Process Industries
508.03,Technology Services
313.34,Consumer Services
232.96001,Technology Services
54.08,Electronic Technology
190.57001,Producer Manufacturing
116.05,Health Technology
63.03,Finance
927.96002,Technology Services
387.98999,Producer Manufacturing
174.09,Electronic Technology
199.84,Electronic Technology
120.42,Consumer Non-Durables
43.74,Communications
478.47,Health Technology
617.89001,Technology Services
325.09,Health Technology
272.67999,Health Technology
29.44,Health Technology
191.02,Producer Manufacturing
94.22,Consumer Services
528.45001,Commercial Services
82.79,Utilities
125.03,Electronic Technology
83.2,Transportation
42.11,Consumer Services
522.38,Finance
281.82999,Retail Trade
21.51,Communications
277.31,Finance
251.60001,Finance
245.78999,Transportation
4307.77002,Consumer Services
217.27,Electronic Technology
112.22,Finance
338.04001,Producer Manufacturing
1007.0,Finance
105.21,Energy Minerals
116.76,Retail Trade
605.0,Electronic Technology
86.77,Health Technology
62.64,Finance
358.98001,Health Technology
484.29999,Health Technology
374.44,Technology Services
290.04001,Technology Services
225.87,Electronic Technology
483.87,Health Services
89.84,Health Technology
104.32,Electronic Technology
226.06,Finance
121.39,Finance
95.04,Consumer Services
707.71997,Electronic Technology
194.02,Finance
76.36,Producer Manufacturing
1016.53003,Health Technology
85.82,Health Technology
52.76,Health Technology
156.32001,Finance
287.39999,Finance
